No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
5,32,62.6503,61.1471,1.92396,2.1387,1319.35,166.055,-9.90441,-17.7257,33931.3,360.58,1,1,1,1,1,0
5,33,62.2422,61.1802,1.91138,2.08411,1280.12,226.363,2.99197,-29.2139,30071.9,388.657,1,1,1,1,1,0
5,34,62.1532,60.9435,2.01417,2.32991,1344.5,138.453,-5.57596,-22.2657,39713.8,380.692,1,1,1,1,1,0
5,35,62.132,60.6227,2.11006,2.52403,1439.8,130.884,-4.13834,-24.618,48087.4,420.485,1,1,1,1,1,0
5,36,62.1909,60.3539,2.52487,3.09694,1402.18,116.053,-9.46542,-22.4613,62957.4,497.29,1,1,2,3,4,0
5,37,62.8961,61.385,1.74016,1.73982,1515.41,145.918,-8.66609,-17.3391,28795.2,315.172,1,1,1,1,1,0
5,38,62.9772,61.392,1.71449,1.75231,1465.13,117.193,-6.51619,-12.842,27626.7,281.834,1,1,1,1,1,0
5,39,62.8643,61.2267,1.79677,2.1021,1368.91,89.0457,-0.17205,-15.42,32526.4,282.663,1,1,1,1,1,0
5,40,62.6873,61.2018,1.67616,2.11363,1383.29,104.941,4.2067,-13.2421,30647.4,288.349,1,1,1,1,1,0
5,41,62.691,61.3582,1.58407,2.03797,1531.35,128.95,3.62706,-12.6099,31102.5,310.189,1,1,1,1,1,0
5,42,62.7205,61.5354,1.82019,2.1582,1246.76,105.437,-3.50931,-15.3528,31583.4,289.71,1,1,1,1,1,0
5,43,62.8812,61.3195,1.87583,1.9883,1237.31,121.68,-4.71077,-15.1582,28884.3,288.467,1,1,1,1,1,0
5,44,62.6977,61.2762,1.86726,1.99769,1359.88,93.4319,-2.71874,-12.7635,32269.5,283.426,1,1,1,1,1,0
5,45,62.7966,61.3002,2.02896,2.23799,1176.39,70.9083,-5.30453,-12.0407,33715.1,271.598,1,1,1,1,1,0
5,46,62.7559,60.9152,2.16379,2.40817,1103.3,62.7704,-5.32913,-12.0145,37040,291.035,1,1,1,1,1,0
5,47,62.5843,61.2674,2.02896,2.16772,1081.23,125.122,-3.85354,-14.7584,28526.8,292.817,1,1,1,1,1,0
5,48,62.4062,61.449,1.99915,2.15278,1282.88,95.9422,-3.79844,-13.9255,34384.7,302.976,1,1,1,1,1,0
5,49,62.3763,61.4472,1.91265,2.22676,1307.06,77.8967,-1.7785,-12.7951,34643.4,289.55,1,1,1,1,1,0
5,50,62.6075,61.4805,1.74828,2.11795,1319.16,110.698,-3.17504,-8.35106,30508,287.396,1,1,1,1,1,0
5,51,62.6815,61.3665,1.87204,2.13652,1233.38,127.535,-3.28582,-10.0683,30791.2,304.775,1,1,1,1,1,0
5,52,62.5085,61.2629,2.11509,2.44431,1074.02,114.745,-0.597864,-10.651,34108.9,315.982,1,1,1,1,1,0
5,53,62.4047,61.4018,1.91525,2.15659,1066.73,121.56,-0.0327923,-16.4796,26982.9,280.615,1,1,1,1,1,0
5,54,62.2346,61.3905,1.74987,1.95135,1220.1,141.015,3.40334,-18.0091,24800.1,284.379,1,1,1,1,1,0
5,55,62.3577,61.1665,1.91991,2.29713,1263.62,79.8765,-1.25432,-12.71,35484.4,288.349,1,1,1,1,1,0
5,56,62.6281,61.3994,2.15639,2.43214,1333.02,92.6291,-6.4027,-14.7498,43105,355.899,1,1,1,1,1,0
5,57,62.5167,61.0811,2.34253,2.53001,1459.85,86.6561,-12.9458,-13.4342,53840.6,407.722,1,1,1,1,1,0
5,58,61.9847,60.8551,2.03538,2.75196,1523.52,165.557,-3.34765,-8.72655,48734.3,462.905,1,1,1,1,1,0
5,59,62.3437,60.9888,2.11085,2.41714,1272.14,131.796,-3.15042,-16.9314,40089.7,377.775,1,1,1,1,1,0
5,60,62.4343,61.3379,2.12322,2.31734,1226.99,101.213,-1.99148,-16.8974,37364.7,326.941,1,1,1,1,1,0
5,61,62.3307,61.2793,1.81155,2.06599,1308.99,118.739,3.76945,-13.9328,30639.6,295.42,1,1,1,1,1,0
5,62,62.3546,61.2027,1.97812,2.20764,1080.29,88.0754,0.0588101,-11.7957,29378.8,261.793,1,1,1,1,1,0
5,63,62.5174,61.2442,2.06098,2.44209,1066.95,57.0303,-5.70899,-11.8673,33674.1,259.858,1,1,1,1,1,0
5,64,62.4284,61.2963,1.90562,2.04923,1348.29,110.24,-8.15857,-16.4669,32906.6,309.154,1,1,1,1,1,0
5,65,62.0957,61.266,1.84201,2.05303,1338.42,126.313,-1.37336,-11.8047,31661.9,312.266,1,1,1,1,1,0
5,66,62.169,61.2715,1.78287,2.12929,1412.8,124.087,-2.44408,-9.17633,33514.2,317.325,1,1,1,1,1,0
5,67,62.4308,61.3606,1.84475,2.11174,1375.55,112.003,-7.32293,-6.64754,33260,313.586,1,1,1,1,1,0
5,68,62.4216,61.4668,1.99042,2.13149,1267.2,108.257,-2.92975,-11.7957,32713.3,305.426,1,1,1,1,1,0
5,69,62.6258,61.3017,2.31257,2.50377,1045.21,95.7721,-4.00069,-11.8316,36979.4,317.675,1,1,1,1,1,0
5,70,62.6703,61.0308,2.18703,2.5564,1167.98,105.995,-1.42364,-14.9589,40033.9,339.089,1,1,1,1,1,0
5,71,62.7901,60.9714,2.22508,2.42264,1397.43,107.711,-5.32866,-17.8994,47326.3,408.243,1,1,1,1,1,0
5,72,62.6635,60.6507,2.41259,2.52332,1314.85,87.2502,-5.84077,-9.02961,49546.2,396.675,1,1,1,1,1,0
5,73,62.522,60.7469,2.33633,2.51498,1141.8,111.355,1.57718,-10.5171,40936.6,365.929,1,1,1,1,1,0
5,74,62.5167,60.7429,2.48122,2.84419,1015.3,85.2964,-2.734,-13.3087,42786.3,354.231,1,1,1,1,1,0
5,75,62.5121,60.6749,2.77962,2.96739,1159.17,12.2919,-9.06618,-7.57147,57094.4,374.035,1,1,1,1,1,0
5,76,62.5938,60.6743,2.62077,2.80171,1218.31,50.6638,-7.19858,-6.28053,53913.1,390.639,1,1,1,1,1,0
5,77,62.7679,60.6799,2.8293,2.95422,1141.9,58.7734,-6.99549,-12.1255,54772.3,407.515,1,1,1,1,1,0
5,78,62.3174,60.6472,2.43697,2.87083,1109.62,118.198,3.91043,-15.0509,45382.9,395.586,1,1,1,1,1,0
5,79,62.3296,60.7533,2.45805,2.83363,1168.42,116.776,-2.33876,-13.5292,47510.8,413.467,1,1,1,1,1,0
5,80,62.2839,60.8686,2.53705,2.85356,1232.04,72.2183,0.72594,-18.1145,52530.9,403.604,1,1,1,1,1,0
5,81,62.2955,60.6528,2.59039,2.68503,1410.22,63.8966,3.39099,-22.0413,59508.1,430.615,1,1,1,1,1,0
5,82,62.5608,60.6976,2.49576,2.61672,1366.4,61.7832,-2.40229,-21.2774,54728.8,401.089,1,1,1,1,1,0
5,83,62.7984,61.045,2.62556,2.79592,1291.28,3.13049,-9.78678,-28.8895,58207.3,363.805,1,1,1,1,1,0
5,84,62.5506,61.1379,2.61856,2.93297,1221.52,41.672,-4.34531,-29.1972,56546.8,391.308,1,1,1,1,1,0
5,85,62.505,60.8121,2.23901,2.85924,1289.68,105.313,-5.03818,-13.7138,50086.1,417.846,1,1,1,1,1,0
5,86,62.6072,61.0052,2.26116,2.79016,1288.3,61.9075,-7.42695,-18.5806,50153.6,361.065,1,1,1,1,1,0
5,87,62.5475,61.0555,2.4161,2.83816,1286.21,32.9767,-3.68794,-22.5755,54495.2,365.905,1,1,1,1,1,0
5,88,62.3563,60.8632,2.61982,2.66653,1080.76,56.8561,4.81766,-23.2131,47328.1,352.373,1,1,1,1,1,0
5,89,62.5798,60.6474,2.62756,2.64132,1070.08,107.515,-6.28071,-12.8754,44709.6,383.03,1,1,1,1,1,0
